file,param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-SO_param.csv,1,-31.322933284150288,9.388265190560247,16.90545428194261,1.1666192682785e-4,bat-SO,0-0-0-1,group_0,ae,6769.2307692307695,1,2,bat,1,0.16,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-SO_param.csv,2,-10.347768431939809,23.673854223972615,11.04697672420372,1.1666192682785e-4,bat-SO,0-0-0-1,group_0,ae,6769.2307692307695,1,2,bat,1,0.16,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-SO_param.csv,3,-2.231976993908636,4.282734051096408,-3.739921038560577,1.1666192682785e-4,bat-SO,0-0-0-1,group_0,ae,6769.2307692307695,1,2,bat,1,0.16,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-SO_param.csv,4,-1.860421525453561,10.0303013296409,4.8247117405656565,1.1666192682785e-4,bat-SO,0-0-0-1,group_0,ae,6769.2307692307695,1,2,bat,1,0.16,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-W3_param.csv,0,481.5157865824923,1184.7446034820098,1858.0723625757848,3.9088004422145e-4,bat-W3,0-0-1-1,group_0,ae,6769.2307692307695,1,2,bat,1,0.12,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-W3_param.csv,1,-47.07311278211661,71.11439687855402,45.00771850029928,3.9088004422145e-4,bat-W3,0-0-1-1,group_0,ae,6769.2307692307695,1,2,bat,1,0.12,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-W3_param.csv,2,-10.13524348881305,-4.361217556456541,-4.758848702917455,3.9088004422145e-4,bat-W3,0-0-1-1,group_0,ae,6769.2307692307695,1,2,bat,1,0.12,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-W3_param.csv,3,-5.765545809921335,0.19684075015569535,-4.947664528563294,3.9088004422145e-4,bat-W3,0-0-1-1,group_0,ae,6769.2307692307695,1,2,bat,1,0.12,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-W3_param.csv,4,-2.357795214663915,-0.4405906995427192,2.4262951387690497,3.9088004422145e-4,bat-W3,0-0-1-1,group_0,ae,6769.2307692307695,1,2,bat,1,0.12,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-W6_param.csv,0,613.6366960864583,1222.283080430633,1820.805947690466,0.00106981999278304,bat-W6,0-0-1-1,group_0,ae,5512.820512820513,1,2,bat,1,0.15000000000000002,NA,NA,B,T,B,TRUE,internal
